kana,municipality,department,section,phone
ア,愛別町,税町民課,課税係,01658-6-5111
ア,赤井川村,総務課,税務係,0135-34-6211
ア,赤平市,税務課,市税係,0125-32-2219
ア,旭川市,市民税課,市民税第1係,0166-25-5758
ア,芦別市,税務課,市税係,0124-22-2111
ア,足寄町,住民課税務室,賦課担当,0156-25-2141
ア,厚岸町,税財政課,課税係,0153-52-3131
ア,厚沢部町,税務課,住民税係,0139-64-3311
ア,厚真町,町民課,税務グループ,0145-27-2321
ア,網走市,税務課,市民税係,"0152-44-6111
    （内線：261・277)"
ア,安平町,税務課,住民税係,0145-22-2513
イ,池田町,町民課,税務係,015-572-3214
イ,石狩市,税務課,市民税担当,0133-72-3119
イ,今金町,税務住民課,課税収納グループ,0137-82-0111
イ,岩内町,総務部税務課,（課税担当）,"0135-62-1011
    （内線：217・218)"
イ,岩見沢市,税務課,市民税係,"0126-23-4111
    （内線：222・223・224）"
ウ,歌志内市,総務財政課,税務グループ,0125-42-3214
ウ,浦臼町,住民課,税務係,0125-68-2112
ウ,浦河町,税務課,町民税係,0146-26-9005
ウ,浦幌町,町民課,住民税係,015-576-2115
ウ,雨竜町,総務課,税財グループ,0125-77-2211
エ,江差町,財務課,課税係,0139-52-6723
エ,枝幸町,税務課,課税係,0163-62-1236
エ,恵庭市,税務課,市民税担当,0123-33-3131
エ,江別市,市民税課,市民税係,011-381-1012
エ,えりも町,税務課,課税係,01466-2-4620
エ,遠軽町,税務課,町民税担当,0158-42-4814
エ,遠別町,生活課,税務係,01632-7-2111
オ,雄武町,税財管理課,課税係,0158-84-2121
オ,大空町,財政課,税務係,0152-74-2111
オ,奥尻町,住民課,税務保険係,01397-2-3407
オ,置戸町,町民生活課,税務係,0157-52-3311
オ,興部町,住民課,税務係,0158-82-2131
オ,長万部町,税務課,税務グループ,01377-2-2000
オ,小樽市,財政部市民税課,市民税第1、2係,"0134-32-4111
    （内線：242～245)"
オ,音威子府村,住民課住民生活室,税務国保係,01656-5-3312
オ,音更町,税務課,住民税係,0155-42-2111
オ,乙部町,税務課,賦課係,0139-62-2311
オ,帯広市,総務部市民税課,市民税係,0155-65-4120
オ,小平町,財政課,税務係,0164-56-2111
カ,上川町,税務住民課,税務グループ,01658-2-1211
カ,上士幌町,町民課,賦課担当,01564-2-2111
カ,上砂川町,町民生活課,課税係,0125-62-2011
カ,上ノ国町,住民課,税務保険グループ,0139-55-2311
カ,上富良野町,町民生活課,税務班,0167-45-6989
カ,上湧別町,税財課,税務係,01586-2-3471
カ,神恵内村,財政課,税務係,0135-76-5011
キ,木古内町,税務課,課税係,01392-2-3131
キ,北広島市,税務課,市民税担当,011-372-3311
キ,北見市,総務部市民税課,"普通徴収担当・
    特別徴収担当",0157-25-1114
キ,喜茂別町,税務課,税務係,0136-33-2211
キ,京極町,税務課,税務係,"0136-42-2111
    (内線：34・35)"
キ,共和町,税務課,税務係,0135-73-2011
キ,清里町,企画財政課,税務係,0152-25-2136
ク,釧路市,市民税課,市民税担当,0154-31-4514
ク,釧路町,課税課,税務係,0154-62-2111
ク,倶知安町,税務課,住民税係,0136-22-1121
ク,栗山町,税務課,課税グループ,0123-72-1111
ク,黒松内町,住民課,（税務担当）,0136-72-3312
ク,訓子府町,町民課,町民税係,0157-47-2193
ケ,剣淵町,住民課,税務グループ,0165-34-2121
コ,小清水町,町民生活課,税務係,"0152-62-2311（代表）
    0152-62-4479（直通）"
サ,札幌市,税制課,市民税係,011-211-2282
サ,中央区,課税課,市民税係,011-231-2400
サ,北区,課税課,市民税係,011-757-2400
サ,東区,課税課,市民税係,011-741-2400
サ,白石区,課税課,市民税係,011-861-2400
サ,厚別区,課税課,市民税係,011-895-2400
サ,豊平区,課税課,市民税係,011-822-2400
サ,清田区,課税課,市民税係,011-889-2400
サ,南区,課税課,市民税係,011-582-2400
サ,西区,課税課,市民税係,011-641-2400
サ,手稲区,課税課,市民税係,011-681-2400
サ,様似町,税務課,賦課係,0146-36-2114
サ,更別村,住民生活課,税務担当,0155-52-2112
サ,猿払村,総務課,税務係,01635-2-3131
サ,佐呂間町,企画財政課,町民税係,01587-2-1214
シ,鹿追町,町民課,税務係,0156-66-4031
シ,鹿部町,税務課,課税係,01372-7-2111
シ,標茶町,税務課,税務係,015-485-2111
シ,士別市,市民部税務課,市民税担当,0165-23-3121
シ,標津町,税務課,税務担当,0153-82-2131
シ,士幌町,町民課,税務収納グループ,01564-5-5214
シ,島牧村,住民課,税務係,0136-75-6211
シ,清水町,税務課,賦課グループ,0156-62-1152
シ,占冠村,総務課,住民税務グループ,0167-56-2123
シ,下川町,税務住民課,税務・収納グループ,01655-4-2511
シ,積丹町,税務課,（税務担当）,0135-44-2111
シ,斜里町,税務課,課税係,"0152-23-3131
    （内線：132・133)"
シ,初山別村,総務課,税務係,0164-67-2211
シ,白老町,税務課,住民税グループ,0144-82-2659
シ,白糠町,課税課,税務係,01547-2-2171
シ,知内町,総務企画課,税務係,01392-5-6161
シ,新篠津村,総務課,税務係,0126-57-2111
シ,新得町,税務課,課税係,0156-64-0526
シ,新十津川町,住民課,町税グループ,0125-76-2130
シ,新ひだか町,税務課,賦課グループ,0146-43-2111
ス,寿都町,財政課,税務第一係,0136-62-2512
ス,砂川市,税務課,市民税係,"0125-54-2121
    （内線：231）"
セ,せたな町,税務課,課税係,0137-84-5111
ソ,壮瞥町,総務課,税務係,0142-66-2121
タ,大樹町,町民課,税務グループ,01558-6-2111
タ,鷹栖町,税務課,税務係,0166-87-2111
タ,滝川市,市民生活部税務課,課税グループ市民税担当,"0125-23-1234
    （内線：1234～1236）"
タ,滝上町,総務課,税務係,0158-29-2111
ダ,伊達市,税務課,市民税係,0142-23-3331
チ,秩父別町,総務企画課,税務係,0164-33-2111
チ,千歳市,税務課,市民税係,"0123-24-0158
    （ダイヤルイン）"
ツ,月形町,住民課,税務係,0126-53-2323
ツ,津別町,住民生活課,税務係,0152-76-2151
ツ,鶴居村,振興課,税務係,0154-64-2112
テ,天塩町,住民課,税務係,01632-2-1001
テ,弟子屈町,税務課,課税係,015-482-2914
ト,当別町,税務課,税務係,0133-23-2332
ト,当麻町,税務住民課,税務係,0166-84-2111
ト,洞爺湖町,税務財政課,課税係,0142-74-3003
ト,苫小牧市,市民税課,市民税第1係,0144-32-6253
ト,苫前町,総務財政課,税務係,0164-64-2213
ト,泊村,財政課,税務係,0135-75-2021
ト,豊浦町,税務課,税務係,0142-83-1404
ト,豊頃町,出納税務課,住民税係,015-574-2212
ト,豊富町,財政課,税務係,0162-82-1001
ナ,奈井江町,まちづくり課,税務係,0125-65-2113
ナ,中川町,住民課,住民サービス室,01656-7-2811
ナ,中札内村,総務課,税務出納グループ,0155-67-2311
ナ,中標津町,税務課,住民税係,0153-73-3111
ナ,中頓別町,総務課,住民グループ,01634-6-1111
ナ,長沼町,総務政策課,税務係,0123-88-2111
ナ,中富良野町,税務課,納税係,0167-44-2124
ナ,七飯町,税務課,課税係,0138-65-2515
ナ,名寄市,税務課,市民税係,01654-3-2111
ナ,南幌町,住民課,税務グループ,011-378-2121
ニ,新冠町,税務課,賦課係,0146-47-2111
ニ,仁木町,財政課,税務係,0135-32-2512
ニ,西興部村,企画総務課,賦課収納係,0158-87-2111
ニ,ニセコ町,税務課,税務係,0136-44-2121
ヌ,沼田町,財政課,税務グループ,"0164-35-2113
    （内線：233・234）"
ネ,根室市,税務課,課税係,0153-23-6111
ノ,登別市,税務グループ,市民税担当,0143-85-1155
ハ,函館市,市民税課,市民税第3部門,0138-21-3212
ハ,羽幌町,財務課,税務係,0164-62-1211
ハ,浜頓別町,住民課,税務係,01634-2-2345
ハ,浜中町,税務課,課税係,0153-62-2173
ビ,美瑛町,税務課,住民税係,0166-92-4297
ヒ,東神楽町,税務課,-,0166-83-2119
ヒ,東川町,税務住民課,税務係,0166-82-2111
ヒ,日高町,税務課,町民税係,01456-2-6184
ピ,比布町,税務住民課,税務係,0166-85-4803
ビ,美唄市,税務課,市民税係,0126-62-3139
ビ,美深町,住民生活課,税務グループ,01656-2-1612
ビ,美幌町,税務グループ,課税担当,"0152-73-1111
    （内線：227)"
ビ,平取町,税務課,課税係,01457-2-2221
ヒ,広尾町,税務課,住民税係,01558-2-0174
フ,深川市,税務課,市民税係,0164-26-2166
フ,福島町,財務課,税務グループ,0139-47-3001
フ,富良野市,税務課,市民税係,0167-39-2302
フ,古平町,財政課,税務係,0135-42-2181
ベ,別海町,税務課,課税担当,0153-75-2111
ホ,北斗市,税務課,税務グループ,0138-73-3111
ホ,北竜町,総務課,税務係,0164-34-2111
ホ,幌加内町,総務課,税務係,0165-35-2121
ホ,幌延町,会計課,税務担当,01632-5-1111
ホ,本別町,税務課,住民税担当,0156-22-8127
マ,幕別町,税務課,住民税係,0155-54-6604
マ,増毛町,"税務町民課
    収納対策室",税務係,0164-53-1111
マ,真狩村,税務課,税務係,0136-45-2121
マ,松前町,総務課,税務グループ,0139-42-2275
ミ,三笠市,財務課,市税係,01267-2-3186
ミ,南富良野町,総務課,税務係,0167-52-2101
ム,むかわ町,財務課,税務係,0145-42-2413
ム,室蘭市,課税課,市民税係,0143-25-2294
メ,芽室町,税務課,賦課グループ,0155-62-9722
モ,妹背牛町,総務課,税務グループ,0164-32-2411
モ,森町,税務課,町民税係,01374-2-2181
モ,紋別市,税務課,市民税係,0158-24-2111
ヤ,八雲町,財務課,課税第一係,0137-62-2111
ユ,夕張市,税財課,税財係,0123-52-3120
ユ,湧別町,住民税務課,税務収納グループ,01586-5-3766
ユ,由仁町,住民課,税務担当,0123-83-2111
ヨ,余市町,税務課,課税係,0135-21-2115
ラ,羅臼町,税務課,"税務係
    （住民税担当）",0153-87-2113
ラ,蘭越町,税務課,税務係,"0136-57-5111
    （内線：243)"
リ,陸別町,町民課,税務担当,0156-27-2141
リ,利尻町,総務課,税務係,0163-84-2345
リ,利尻富士町,税務会計課,税務係,0163-82-1111
ル,留寿都村,税務課,税務係,0136-46-3131
ル,留萌市,税務課,市民税係,0164-42-1804
レ,礼文町,町民課,-,0163-86-1001
ワ,和寒町,住民課,税務係,0165-32-2421
ワ,稚内市,税務課,市民税係,0162-23-6161
ア,青森市,市民税課,税務チーム,017-734-1111
ア,鰺ヶ沢町,税務課,課税班,0173-72-2111
イ,板柳町,税務課,税務係,0172-73-2111
イ,田舎館村,税務課,税務係,0172-58-2111
イ,今別町,総務課,税務担当,0174-35-2001
オ,おいらせ町,税務課,-,0178-56-2111
オ,大間町,税務課,-,0175-37-2111
オ,大鰐町,税務課,住民税係,0172-48-2111
カ,風間浦村,税務国保課,-,0175-35-2111
ク,黒石市,税務課,住民税係,0172-52-2111
ゴ,五所川原市,税務課,市民税係,0173-35-2111
ゴ,五戸町,税務課,住民税班,0178-62-2111
サ,佐井村,住民福祉課,-,0175-38-2111
サ,三戸町,税務課,課税班,0179-20-1118
シ,七戸町,税務課,-,0176-68-2113
シ,新郷村,住民生活課,税務グループ,0178-78-2111
ソ,外ヶ浜町,税務課,-,0174-31-1224
タ,田子町,町民課,税務グループ,0179-20-7112
ツ,つがる市,税務課,市民税係,0173-42-2111
ツ,鶴田町,税務課,住民税係,0173-22-2111
ト,東北町,税務課,-,0176-56-3111
ト,十和田市,税務課,市民税係,0176-23-5111
ナ,中泊町,税務課,課税係,0173-57-2111
ナ,南部町,税務課,住民税班,0179-34-2111
ニ,西目屋村,住民課,税務係,0172-85-2805
ノ,野辺地町,税務課,-,0175-64-2111
ハ,階上町,町民課,税務グループ,0178-88-2114
ハ,八戸市,住民税課,-,0178-43-2111
ヒ,東通村,税務課,税務グループ,0175-27-2111
ヒ,平川市,税務課,住民税係,0172-44-1111
ヒ,平内町,税務課,住民税係,017-755-2115
ヒ,弘前市,市民税課,市民税第二係,0172-35-1111
フ,深浦町,税務課,税務係,0173-74-2111
フ,藤崎町,税務課,住民税係,0172-75-3111
ミ,三沢市,税務課,住民税係,0176-53-5111
ム,むつ市,税務課,市民税係,0175-22-1111
ヨ,横浜町,税務町民課,税務グループ,0175-78-2111
ヨ,蓬田村,総務課,税政班,0174-27-2111
ロ,六戸町,税務課,-,0176-55-3111
ロ,六ヶ所村,税務課,-,0175-72-2111
イ,一関市,税務課,市民税係,0191-21-2111
イ,一戸町,税務町民課,課税係,0195-33-2111
イ,岩泉町,税務出納課,税務室,0194-22-2111
イ,岩手町,税務会計課,課税資産係,0195-62-2111
オ,奥州市,総務部税務課,市民税係,0197-24-2111
オ,大槌町,税務課,課税係,0193-42-8727
オ,大船渡市,総務部税務課,市民税係,0192-27-3111
カ,金ケ崎町,住民課,賦課係,0197-42-2111
カ,釜石市,税務課,市民税係,0193-22-2111
カ,軽米町,税務会計課,課税グループ,0195-46-4737
カ,川井村,住民生活課,税務係,0193-76-2112
キ,北上市,財務部市民税課,賦課係,0197-64-2111
ク,久慈市,税務課,市民税グループ,0194-52-2114
ク,葛巻町,住民会計課税務室,税務徴収係,0195-66-2111
ク,九戸村,住民生活課,賦課徴収班,0195-42-2111
シ,雫石町,税務課,住民課税グループ,019-692-2111
シ,紫波町,税務課,課税室,019-672-2111
ス,住田町,税務課,税務係,0192-46-2111
タ,滝沢村,税務課,住民税担当,019-684-2111
タ,田野畑村,税務会計課,税務班,0194-34-2111
ト,遠野市,総務部税務課,課税係,0198-62-2111
ニ,西和賀町,税務課,住民税係,0197-85-3414
ニ,二戸市,総務部税務課,課税係,0195-23-3111
ノ,野田村,税務課,税務班,0194-78-2930
ハ,八幡平市,税務課,市民税係,0195-76-2111
ハ,花巻市,財務部税務課,市民税担当,0198-24-2111
ヒ,平泉町,税務課,町民税係,0191-46-5563
ヒ,洋野町,税務課,課税係,0194-65-5913
フ,藤沢町,税務課,課税係,0191-63-2111
フ,普代村,税務課,税務係,0194-35-2112
ミ,宮古市,税務課,市民税担当,0193-62-2111
モ,盛岡市,市民税課,"市民税第一係
    市民税第二係
    市民税第三係",019-651-4111
ヤ,矢巾町,税務課,賦課係,019-611-2522
ヤ,山田町,税務会計課,町民税担当,0193-82-3111
リ,陸前高田市,税務課,市民税係,0192-54-2111
イ,石巻市,市民税課,市民税グループ,0225-95-1111
イ,岩沼市,税務課,市民税係,0223-22-1111
オ,大河原町,税務課,課税係,0224-53-2113
オ,大崎市,税務課,市民税係,0229-23-5147
オ,大郷町,税務課,住民税係,022-359-5505
オ,大衡村,住民税務課,税務班,022-345-5111
オ,女川町,税務課,税務係,0225-54-3131
カ,角田市,税務課,市民税係,0224-63-2114
カ,加美町,税務課,町民税係,0229-63-3114
カ,川崎町,税務課,個人町民税係,0224-84-2111
ク,栗原市,税務課,市民税係,0228-22-1121
ケ,気仙沼市,税務課,税制係,0226-22-6600
ザ,蔵王町,町民税務課,住民税係,0224-33-3002
シ,塩竈市,税務課,市民税係,022-364-1111
シ,色麻町,町民税務課,住民税係,0229-65-2111
シ,七ヶ宿町,税務課,税務係,0224-37-2193
シ,七ヶ浜町,税務課,住民税係,022-357-2111
シ,柴田町,税務課,"町民税・国民健康
    保険税班",0224-55-2116
シ,白石市,税務課,市民税係,0224-22-1313
セ,仙台市,税制課,税制係,022-214-8139
セ,青葉区,税務課,市民税係,022-225-7211
セ,宮城野区,税務課,市民税係,022-291-2111
セ,若林区,税務課,市民税係,022-282-1111
セ,太白区,税務課,市民税係,022-247-1111
セ,泉区,税務課,市民税係,022-372-3111
タ,大和町,税務課,課税班,022-345-1116
タ,多賀城市,税務課,市民税係,022-368-1141
ト,富谷町,税務課,住民税係,022-358-0518
ト,登米市,税務課,市民税係,0220-22-2163
ナ,名取市,税務課,市民税係,022-384-2111
ヒ,東松島市,税務課,税務班,0225-82-1111
マ,松島町,財務課,税務班,022-354-5703
マ,丸森町,町民税務課,課税班,0224-72-2116
ミ,美里町,税務課,住民税係,0229-33-2115
ミ,南三陸町,町民税務課,課税係,0226-46-1372
ム,村田町,税務課,住民税班,0224-83-6403
モ,本吉町,町民税務課,税務班,0226-42-2600
ヤ,山元町,税務納税課,課税班,0223-37-1114
リ,利府町,財務課,税務班,022-767-2117
ワ,涌谷町,町民税務課,税務班,0229-43-2114
ワ,亘理町,税務課,課税班,0223-34-1112
ア,秋田市,市民税課,個人市民税担当,018-866-2055
イ,井川町,税務町民課,税務班,018-874-4414
ウ,羽後町,税務課,賦課担当,0183-62-2111
オ,大潟村,税務会計課,税務班,0185-45-2113
オ,大館市,税務課,市民税係,0186-49-3111
オ,男鹿市,税務課,民税係,"0185-23-2111
    （内線：1306）"
カ,潟上市,税務課,市民税班,018－878－9803
カ,鹿角市,税務課,市民税班,0186-30-0213
カ,上小阿仁村,住民福祉課,税務保険班,0186-77-2221
キ,北秋田市,税務課,住民税担当,0186-62-1116
コ,小坂町,町民課,税務班,0186-29-3904
ゴ,五城目町,税務課,税務係,018-852-5144
セ,仙北市,税務課,市民税係,0187-43-1117
ダ,大仙市,税務課,市民税班,"0187-63-1111
    （内線：107）"
ニ,にかほ市,税務課,市民税係,0184-43-7505
ノ,能代市,税務課,市民税係,0185-89-2126
ハ,八郎潟町,総務課,税務班,018-875-5807
ハ,八峰町,税務課,課税係,"0185-77-2111
    （内線：24）"
ヒ,東成瀬村,民生課,税務担当,0182-47-3403
フ,藤里町,町民生活課,税務係,0185-79-2113
ミ,美郷町,税務課,課税班,0187-84-4902
ミ,三種町,税務課,賦課係,0185-85-4828
ユ,湯沢市,税務課,市民税班,"0183-73-2111
    （内線：244）"
ユ,由利本荘市,税務課,住民税班,0184-24-6302
ヨ,横手市,市民税課,市民税担当,0182-32-2510
ア,朝日町,税務町民課,町民税係,0237-67-2107（直通）
イ,飯豊町,住民税務課,税務室,"0238-72-2111
    （内線：127～129）"
オ,大石田町,町民税務課,課税収納係,"0237-35-2111
    （内線：125）"
オ,大江町,税務町民課,税務係,0237-62-2119（直通）
オ,大蔵村,住民福祉課,税務係,0233-75-2104（直通）
オ,小国町,税務出納課,課税担当,0238-62-2403（直通）
オ,尾花沢市,市民税務課,市税係,"0237-22-1111
    （内線：121・122）"
カ,金山町,町民税務課,税務係,"0233-52-2111
    （内線：243）"
カ,河北町,税務町民課,町民税係,"0237-73-2111
    （内線：113）"
カ,上山市,税務課,住民税グループ,"023-672-1111
    （内線：132）"
カ,川西町,税務収納課,町税グループ,0238-42-6622（直通）
サ,寒河江市,税務課,市民諸税係,"0237-86-2111
    （内線：311・316）"
サ,酒田市,税務課,"市民税第一、
    第二係","0234-26-5712
    ～5714（直通）"
サ,鮭川村,住民税務課,税務係,"0233-55-2111
    （内線：112）"
シ,庄内町,税務町民課,住民税係,0234-42-0144（直通）
シ,白鷹町,町民税務課,町税係,0238-85-6132（直通）
シ,新庄市,税務課,課税室,"0233-22-1111
    （内線：142・143）"
タ,高畠町,税務課,課税管理室,0238-52-4477（直通）
ツ,鶴岡市,課税課,"市民税第一、
    第二係","0235-25-2111
    （内線：201～204）"
テ,天童市,税務課,市民税係,"023-654-1111
    （内線：775）"
ト,戸沢村,住民税務課,税務係,"0233-72-2111
    （内線：121）"
ナ,長井市,税務課,市民税係,"0238-84-2111
    （内線：249・261）"
ナ,中山町,住民税務課,"税務グループ
    住民税担当",023-662-2112（直通）
ナ,南陽市,税務課,市民税係,"0238-40-3211
    （内線222・223）"
ニ,西川町,町民税務課,税務係,0237-74-2117（直通）
ヒ,東根市,税務課,市民税係,"0237-42-1111
    （内線：2322）"
フ,舟形町,町民課,税務国保班,"0233-32-2111
    （内線：333・334）"
マ,真室川町,町民課,賦課徴収担当,0233-62-2111
ミ,三川町,町民課,税務係,"0235-66-3111
    （内線：115）"
ム,村山市,税務課,住民税係,"0237-55-2111
    （内線：121～123）"
モ,最上町,町民税務課,賦課係,"0233-43-2111
    （内線：132）"
ヤ,山形市,市民税課,"市民税第一係
    ～第四係","023-641-1212
    （内線：304～307）"
ヤ,山辺町,税務課,町民税係,023-667-1105（直通）
ユ,遊佐町,町民課,町民税係,0234-72-5885（直通）
ヨ,米沢市,税務課,市民税係,"0238-22-5111
    （内線：2403）"
ア,会津坂下町,税務管理班,民税係,0242-84-1502
ア,会津美里町,税務課,民税係,0242-55-1145
ア,会津若松市,税務課,市民税グループ,0242-39-1223
ア,浅川町,税務課,賦課係,0247-36-4122
イ,飯舘村,住民課,税務係,0244-42-1615
イ,飯野町,税務課,税政班,024-562-4304
イ,石川町,税務課,課税係,0247-26-9118
イ,泉崎村,税務課,-,0248-53-2113
イ,猪苗代町,税務課,賦課業務係,0242-62-2113
イ,いわき市,市民税課,市民税第一係・第二係,"0246-22-7426
    ・7427"
オ,大熊町,税務課,賦課係,0240-32-2111
オ,大玉村,税務課,賦課係,0243-48-3131
オ,小野町,税務課,課税班,0247-72-6932
カ,鏡石町,税務町民課,税務グループ,0248-62-2114
カ,葛尾村,総務課,税務財政係,0240-29-2111
カ,金山町,住民課,税務係,0241-54-5121
カ,川内村,住民課,税務係,0240-38-2114
カ,川俣町,税務課,税政係,024-566-2111
キ,喜多方市,税務課,市民税係,0241-24-5217
キ,北塩原村,税務課,税務班,0241-23-3114
ク,国見町,税務課,課税グループ,024-585-2778
コ,桑折町,税務住民課,課税チーム,024-582-2114
コ,郡山市,市民税課,市民税第一係、第二係、第三係,024-924-2081
サ,鮫川村,総務課,税務係,0247-49-3111
シ,下郷町,総務課,税務班課税係,0241-69-1155
シ,昭和村,総務課,住民係,0241-57-2113
シ,白河市,総務部課税課,市民税係,"0248-22-1111
    （内線：2127）"
シ,新地町,税務課,税務係,0244-62-2119
ス,須賀川市,税務課,市民税係,0248-75-1111
ソ,相馬市,税務課,市民税係,0244-37-2127
タ,只見町,町民生活課,税務班,0241-82-5110
ダ,伊達市,税務課,市民税係,024-575-1138
タ,棚倉町,税務課,課税徴収係,0247-33-2118
タ,玉川村,住民税務課,住民税係,0247-57-4622
タ,田村市,総務部　　税務課,課税担当,0247-81-2119
テ,天栄村,住民税務課,課税グループ,0248-82-2116
ト,富岡町,税務課,課税係,0240-22-2111
ナ,中島村,税務課,-,0248-52-3481
ナ,浪江町,税務課,課税係,0240-34-0224
ナ,楢葉町,税務課,賦課係,0240-25-2111
ニ,西会津町,総務税政課,税政係,0241-45-2212
ニ,西郷村,税務課,賦課係,0248-25-1113
ニ,二本松市,税務課,市民税係,0243-55-5085
ハ,塙町,町民課,税務係,0247-43-2113
